L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos
𐌰𐍆𐍃𐌻𐌰𐌿𐌸𐌽𐌰𐌽,afslauþnan,"be_amazed, be_dumbfounded, become_dumbfounded, be_silenced_off, become_silenced_>>>",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslɔθn,3,certain,not_reconstructed,"V., v"
𐌰𐍆𐍃𐍄𐌰𐌽𐌳𐌰𐌽,afstandan,"dissociate_os, go_away, stay_away, fall_off",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸstand,7,certain,form,"V., v"
𐌰𐍆𐍃𐍄𐌰𐍃𐍃,afstass,"dissociation, separation, divorce",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸstass,2,certain,not_reconstructed,"F., n"
𐌰𐍆𐍃𐍅𐌰𐌲𐌲𐍅𐌾𐌰𐌽,afswaggwjan,"make_anxious, make_sway_away_from, cause_to_waver",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸswaɡɡwj,1,certain,form,"V., v"
𐌰𐍆𐍃𐍅𐌰𐌹𐍂𐌱𐌰𐌽,afswaírban,"wipe_away, wipe_out",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸswɛrb,1,certain,form,"V., v"
𐌰𐍆𐍄𐌰,afta,behind,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸta,0,certain,not_reconstructed,"Adv., r"
𐌰𐍆𐍄𐌰𐌽𐌰,aftana,from_behind,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtana,1,certain,not_reconstructed,"Adv., r"
𐌰𐍆𐍄𐌰𐍂𐍉,aftarō,"in_back_of, from_behind",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtaro,3,certain,word,"Adv., r"
𐌰𐍆𐍄𐌰𐌿𐍂𐌽𐌰𐌽,aftaúrnan,"tear_off, be_torn_off, become_torn_off",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtɔrn,1,certain,form,"V., v"
𐌰𐍆𐍄𐌹𐌿𐌷𐌰𐌽,aftiuhan,"draw_off_away, pull_away, lead_away",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtɪuh,2,certain,not_reconstructed,"V., v"
𐌰𐍆𐍄𐍂𐌰,aftra,"again, back, backwards, once_more",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtra,102,certain,not_reconstructed,"Adv., r"
𐌰𐍆𐍄𐌰,afta,"again, back, backwards, once_more",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸta,0,certain,not_reconstructed,"Adv., r"
𐌰𐍆𐍄𐍂𐌰𐌰𐌽𐌰𐍃𐍄𐍉𐌳e𐌹𐌽𐍃,aftraanastōdeins,"regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtraanastoðins,1,certain,form,"F., n"
𐌰𐍆𐍄𐌰𐍂𐌰𐌰𐌽𐌰𐍃𐍄𐍉𐌳e𐌹𐌽𐍃,aftaraanastōdeins,"regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtaraanastoðins,0,certain,form,"F., n"
𐌰𐍆𐍄𐌿𐌼𐌰,aftuma,"aftermost, hindmost, last_of_two_parties",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtuma,1,certain,form,"Adj., Adj., aa"
𐌰𐍆𐍄𐌿𐌼𐌹𐍃𐍄𐍃,aftumists,"endmost, final, the_very_last",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸtumɪsts,5,certain,not_reconstructed,"Adj., Adj., aa"
𐌰𐍆𐌸𐌰𐌿𐍂𐍃𐌾𐌰𐌽,afþaúrsjan,"dessicate, afflict_with_thirst",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθɔrsj,2,certain,form,"V., v"
𐌰𐍆𐌸𐌻𐌹𐌿𐌷𐌰𐌽,afþliuhan,"flee_off, run_away_in_flight, escape",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθlɪuh,1,certain,form,"V., v"
𐌰𐍆𐌸𐍅𐌰𐌷𐌰𐌽,afþwahan,"lave_off, wash_off, wash_os_off",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθwah,3,certain,not_reconstructed,"V., v"
𐌰𐍆𐍅𐌰𐌲𐌾𐌰𐌽,afwagjan,"make_fluctuate_away_from, make_waver_away_from, remove",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwaɣj,1,certain,form,"V., v"
𐌰𐍆𐍅𐌰𐌹𐍂𐍀𐌰𐌽,afwaírpan,"cast_aside, throw_off",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwɛrp,4,certain,not_reconstructed,"V., v"
𐌰𐍆𐍅𐌰𐌻𐍅𐌾𐌰𐌽,afwalwjan,"remove_by_rolling, roll_away",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwalwj,2,certain,form,"V., v"
𐌰𐍆𐍅𐌰𐌽𐌳𐌾𐌰𐌽,afwandjan,"turn_aside, make_turn_away_from",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwandj,7,certain,not_reconstructed,"V., v"
𐌰𐌲𐌰𐌽,agan,be_afraid_of,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣ,0,uncertain,word,"V., v"
𐌰𐌲𐌰𐌽𐌳𐍃,agands,fearful,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣands,0,uncertain,word,"V., Adj., va"
𐌰𐌲𐌰𐍄𐌾𐌰,agatja,magpie,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣatja,0,uncertain,word,"F., n"
𐌰𐌲e𐌹,agei,timidity,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣi,0,uncertain,word,"F., n"
𐌰𐌲𐌲𐌰,agga,narrowness,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡa,0,uncertain,word,"M., n"
𐌰𐌲𐌲𐌹𐌻𐍃,aggils,angle,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡɪls,0,no_info,not_reconstructed,r
𐌰𐌲𐌲𐌹𐌻𐌿𐍃,aggilus,angel,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡɪlus,39,certain,not_reconstructed,"M., n"
