New_orth,Old_orth,Lan,New,Old
utál,aktɜ,Ug,utaːl,ɑktͽ
homlok,kuma,U,homlok,kumɑ
Erdély,älɜ,Ug,ɛrdeːj,ælͽ
harántos,kurɜ,U,hɒraːntoʃ,kurͽ
torok,turɜ,Ug,torok,turͽ
tarja,turja,FU,tɒrjɒ,turjɑ
hornyol,kurńa,FU,horɲol,kurnʲɑ
fekély,pekkɜ,Ug,fɛkeːj,pekkͽ
gyökér,jȣ̈kkɜrɜ,Ug,ɟøkeːr,jȣ̈kkͽrͽ
titok,tajɜttɜ,Ug,titok,tɑjͽttͽ
holnap,kuδɜ,U,holnɒp,kuðͽ
tapod,tappa,U,tɒpod,tɑppɑ
ásít,ȣćɜ,FU,aːʃiːt,ȣt͡ʃʲͽ
fárad,pȣγrɜ,Ug,faːrɒd,pȣɣrͽ
halad,kulke,U,hɒlɒd,kulke
hagyap,kuδ̕ɜ,Ug,hɒɟɒp,kuðʲͽ
vese,wȣ̈ćɜ,Ug,vɛʃɛ,wȣ̈t͡ʃʲͽ
szalad,ćaδa,FU,sɒlɒd,t͡ʃʲɑðɑ
figyel,peljä,FU,fiɟɛl,peljæ
szalag,śalɜ,U,sɒlɒɡ,ʃʲɑlͽ
keszeg,kećä,FU,kɛsɛɡ,ket͡ʃʲæ
forog,pȣrkɜ,FU,foroɡ,pȣrkͽ
szárad,śarɜ,FU,saːrɒd,ʃʲɑrͽ
velő,wiδɜ,FU,vɛløː,wiðͽ
meleg,mälɜ,Ug,mɛlɛɡ,mælͽ
szőr,säγɜrɜ,Ug,søːr,sæɣͽrͽ
felett,piδe,U,fɛlɛtː,piðe
homály,kumɜ,FU,homaːj,kumͽ
mese,mańćɜ,Ug,mɛʃɛ,mɑnʲt͡ʃʲͽ
magyar,mańćɜ,Ug,mɒɟɒr,mɑnʲt͡ʃʲͽ
keshed,käńćɜ,Ug,kɛʃhɛd,kænʲt͡ʃʲͽ
könnyű,kȣ̈nɜ,Ug,køɲːyː,kȣ̈nͽ
tüdő,täwe,U,tydøː,tæwe
marok,mȣrɜ,Ug,mɒrok,mȣrͽ
sün,śijele,FU,ʃyn,ʃʲijele
méltó,mȣ̈lɜ,Ug,meːltoː,mȣ̈lͽ
kígyó,kije,U,kiːɟoː,kije
hajnal,koje,FU,hɒjnɒl,koje
vezet,wetä,FU,vɛzɛt,wetæ
vessző,waćɜ,FU,vɛsːøː,wɑt͡ʃʲͽ
kengyel,kećɜ,FU,kɛnɟɛl,ket͡ʃʲͽ
malát,malkɜ,Ug,mɒlaːt,mɑlkͽ
