got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos,substi
afgudei,F.,Gottlosigkeit,"ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,form,aɸɡuði,"ungodliness, irreligiosity, impiety",n,too long
afguþs,Adj.,"abgöttisch, gottlos","godless, irreligious, impious",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['3'],certain,form,aɸɡuθs,"godless, irreligious, impious",a,
afhabansik,V.,sich enthalten,"abstain, withhold o.s.",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,,aɸhaβansɪk,"abstain, withhold_os",v,too long
afhaimeis,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,form,aɸhaɪmis,"absent_from_home, absent, away_from_home",a,too long
afhaimis,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪmɪs,"absent_from_home, absent, away_from_home",a,too long
afhaims,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪms,"absent_from_home, absent, away_from_home",a,
afhaimis,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪmɪs,,a,too long
afhaims,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪms,,a,
afhamōn,V.,"die Bekleidung ablegen, ausziehen, sich entkleiden","get undressed, shed as clothing, strip off as clothing, doff",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,,aɸhamon,"get_undressed, shed_as_clothing, strip_off_as_clothing, doff",v,too long
afhlaþan,V.,beladen (V.),"burden (V.), load down, lade down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,form,aɸhlaθan,"burden, load_down, lade_down",v,too long
