New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2
nevet,mȣ̈kɜ,Ug,,(mȣ̈γɜ-),
méltó,mȣ̈lɜ,Ug,,,
nyék,näkɜ,Ug,Kápolnásnyék,(nekɜ-),
nyerëg,närkɜ,Ug,,,
nyolc,ńalɜ,Ug,,,
nyer,ńärɜ,Ug,,,
oldal,oŋtɜ,Ug,,(oŋtɜ-lɜ),
fék,päkkɜ,Ug,,,
fejt,pejɜ,Ug,,,
fekély,pekkɜ,Ug,,,
födél,pentɜlɜ,Ug,,,
füst,pičɜ,Ug,,(pićɜ),
fűl,pilɜ,Ug,,,
fű,pimɜ,Ug,,,
fok,pukkɜ,Ug,,,
fulánk,pulɜ,Ug,,,
fog,puŋɜ,Ug,,,
fárad,pȣγrɜ,Ug,,,", pȣrkɜ-"
foly,pȣlɜ,Ug,,,
faggyú,pȣĺćɜ,Ug,,,
fekete,pȣ̈kkɜttɜ,Ug,,,
rá,raŋɜ,Ug,,,
rokkan,rȣkkɜ,Ug,,,
szó,sawɜ,Ug,,,
szőr,säγɜrɜ,Ug,,,", säkrɜ"
szél,selɜ,Ug,,,
szëg,seŋkɜ,Ug,,,
szül,silɜ,Ug,,,
zug,suŋɜ,Ug,,,
szédül,sȣjɜ,Ug,,,", > sȣ̈jɜ-"
szalu,sȣlkɜ,Ug,,(sȣlγɜ),
száguld,sȣŋɜ,Ug,,,
szár,sȣrɜ,Ug,,,
titok,tajɜttɜ,Ug,,,
tál,talɜ,Ug,,,
tekint,täkkɜ,Ug,,,
tegëz,täŋɜtɜ,Ug,,,
tér,tärɜ,Ug,,,
téved,tepɜ,Ug,,,
táltos,tultɜ,Ug,,,
torok,turɜ,Ug,,,
tűz,tüγɜtɜ,Ug,,,", tüwɜ-tɜ"
domb,tȣmpɜ,Ug,,,
dob,tȣmpɜ,Ug,,,
vár,warɜ,Ug,,,
vese,wȣ̈ćɜ,Ug,,,
ajtó,ȣjɜ,Ug,,,
