Original,Orth,en,de,type,type.1,IPA,split,proto,protouew
bokor,bo,bush,Busch,N,,bo,b¹o²,pu (1.5); pɜ (1.0); pe (1.0),pu (1.5); pɜ (1.0); pe (1.0)
bokor,b,bush,Busch,N,,b,b¹∅²,pe (11.0); pɜ (9.5); pa (9.5); pæ (4.5),pe (11.0); pɜ (9.5); pa (9.5); pä (4.5)
boly,bo,anthill,Ameisenhaufen,N,,bo,b¹o²,pu (1.5); pɜ (1.0); pe (1.0),pu (1.5); pɜ (1.0); pe (1.0)
boly,b,anthill,Ameisenhaufen,N,,b,b¹∅²,pe (11.0); pɜ (9.5); pa (9.5); pæ (4.5),pe (11.0); pɜ (9.5); pa (9.5); pä (4.5)
börtön,börtö,prison,Gefängnis,N,,børtø,b¹ø³rt³ø²,pire (1.75); pere (1.5); pare (1.5); pære (1.25),pire (1.75); pere (1.5); pare (1.5); päre (1.25)
bukik,buki,fall,fallen,V,,buki,b¹u³k³i²,'k³' can't be from Uralic,'k³' can't be from Uralic
bűn,bű,sin,Sünde,N,,byː,b¹y²,'y²' can't be from Uralic,'y²' can't be from Uralic
bunkó,bunk,mallet,Holzhammer,N,Adj,bunk,b¹u³nk³∅²,'nk³' can't be from Uralic,'nk³' can't be from Uralic
bunkó,bun,mallet,Holzhammer,N,Adj,bun,b¹u³n³∅²,pȣne (6.75); pune (6.0); pȣnɜ (6.0); pȣna (6.0); pone (6.0); punɜ (5.25); puna (5.25); ponɜ (5.25); pona (5.25); pȣnæ (3.5); punæ (2.75); ponæ (2.75),pȣne (6.75); pune (6.0); pȣnɜ (6.0); pȣna (6.0); pone (6.0); punɜ (5.25); puna (5.25); ponɜ (5.25); pona (5.25); pȣnä (3.5); punä (2.75); ponä (2.75)
bürök,bürö,hemlock,Schierling,N,,byrø,b¹y³r³ø²,pire (1.5); pijre (1.5); pɜre (1.25); pɜjre (1.25); pære (1.25); pæjre (1.25); pare (1.25); pajre (1.25); p¨re (1.25); p¨jre (1.25),pire (1.5); pijre (1.5); pɜre (1.25); pɜjre (1.25); päre (1.25); päjre (1.25); pare (1.25); pajre (1.25); p¨re (1.25); p¨jre (1.25)
