rootuew,type,type.1,struc,NSE,en,de,reflex,rootipa
šimpamä,N,,,4.83,bay,Bucht,öböl,ʃimpamæ
šimpalkɜ,N,,,4.83,bay,Bucht,öböl,ʃimpalkɜ
šimpalka,N,,,4.83,bay,Bucht,öböl,ʃimpalka
šimpaδɜ,N,,,4.83,bay,Bucht,öböl,ʃimpaðɜ
šimpaδa,N,,,4.83,bay,Bucht,öböl,ʃimpaða
simpimɜ,N,,,4.83,bay,Bucht,öböl,simpimɜ
simpima,N,,,4.83,bay,Bucht,öböl,simpima
simpiδɜ,N,,,4.83,bay,Bucht,öböl,simpiðɜ
simpiδa,N,,,4.83,bay,Bucht,öböl,simpiða
simpeδe,N,,,4.83,bay,Bucht,öböl,simpeðe
mimpäme,N,,,4.83,bay,Bucht,öböl,mimpæme
mimpälke,N,,,4.83,bay,Bucht,öböl,mimpælke
mimpame,N,,,4.83,bay,Bucht,öböl,mimpame
jimpime,N,,,4.83,bay,Bucht,öböl,jimpime
jimpäle,N,,,4.83,bay,Bucht,öböl,jimpæle
šimpälɜ,N,,,4.67,bay,Bucht,öböl,ʃimpælɜ
šimpäla,N,,,4.67,bay,Bucht,öböl,ʃimpæla
šimpäδɜ,N,,,4.67,bay,Bucht,öböl,ʃimpæðɜ
šimpäδa,N,,,4.67,bay,Bucht,öböl,ʃimpæða
šimpalɜ,N,,,4.67,bay,Bucht,öböl,ʃimpalɜ
šimpala,N,,,4.67,bay,Bucht,öböl,ʃimpala
simpeme,N,,,4.67,bay,Bucht,öböl,simpeme
simpelke,N,,,4.67,bay,Bucht,öböl,simpelke
simpäme,N,,,4.67,bay,Bucht,öböl,simpæme
simpame,N,,,4.67,bay,Bucht,öböl,simpame
mimpele,N,,,4.67,bay,Bucht,öböl,mimpele
mimpalke,N,,,4.67,bay,Bucht,öböl,mimpalke
mimpale,N,,,4.67,bay,Bucht,öböl,mimpale
jimpilke,N,,,4.67,bay,Bucht,öböl,jimpilke
jimpelke,N,,,4.67,bay,Bucht,öböl,jimpelke
jimpeδe,N,,,4.67,bay,Bucht,öböl,jimpeðe
jimpäme,N,,,4.67,bay,Bucht,öböl,jimpæme
jimpäδe,N,,,4.67,bay,Bucht,öböl,jimpæðe
simpälke,N,,,4.5,bay,Bucht,öböl,simpælke
simpäle,N,,,4.5,bay,Bucht,öböl,simpæle
simpalke,N,,,4.5,bay,Bucht,öböl,simpalke
mimpilke,N,,,4.5,bay,Bucht,öböl,mimpilke
mimpiδe,N,,,4.5,bay,Bucht,öböl,mimpiðe
mimpeme,N,,,4.5,bay,Bucht,öböl,mimpeme
mimpeδe,N,,,4.5,bay,Bucht,öböl,mimpeðe
mimpälä,N,,,4.5,bay,Bucht,öböl,mimpælæ
mimpäδɜ,N,,,4.5,bay,Bucht,öböl,mimpæðɜ
mimpäδa,N,,,4.5,bay,Bucht,öböl,mimpæða
jimpile,N,,,4.5,bay,Bucht,öböl,jimpile
jimpiδe,N,,,4.5,bay,Bucht,öböl,jimpiðe
jimpele,N,,,4.5,bay,Bucht,öböl,jimpele
jimpaδä,N,,,4.5,bay,Bucht,öböl,jimpaðæ
simpelä,N,,,4.33,bay,Bucht,öböl,simpelæ
simpeδɜ,N,,,4.33,bay,Bucht,öböl,simpeðɜ
simpeδa,N,,,4.33,bay,Bucht,öböl,simpeða
simpale,N,,,4.33,bay,Bucht,öböl,simpale
simpaδe,N,,,4.33,bay,Bucht,öböl,simpaðe
mimpile,N,,,4.33,bay,Bucht,öböl,mimpile
mimpämɜ,N,,,4.33,bay,Bucht,öböl,mimpæmɜ
mimpäma,N,,,4.33,bay,Bucht,öböl,mimpæma
mimpälkɜ,N,,,4.33,bay,Bucht,öböl,mimpælkɜ
mimpälka,N,,,4.33,bay,Bucht,öböl,mimpælka
mimpamɜ,N,,,4.33,bay,Bucht,öböl,mimpamɜ
mimpama,N,,,4.33,bay,Bucht,öböl,mimpama
mimpaδä,N,,,4.33,bay,Bucht,öböl,mimpaðæ
jimpimɜ,N,,,4.33,bay,Bucht,öböl,jimpimɜ
jimpima,N,,,4.33,bay,Bucht,öböl,jimpima
jimpälkä,N,,,4.33,bay,Bucht,öböl,jimpælkæ
jimpälɜ,N,,,4.33,bay,Bucht,öböl,jimpælɜ
jimpäla,N,,,4.33,bay,Bucht,öböl,jimpæla
jimpamä,N,,,4.33,bay,Bucht,öböl,jimpamæ
jimpalkä,N,,,4.33,bay,Bucht,öböl,jimpalkæ
0impimä,N,,,4.33,bay,Bucht,öböl,0impimæ
0impemä,N,,,4.33,bay,Bucht,öböl,0impemæ
0impalä,N,,,4.33,bay,Bucht,öböl,0impalæ
simpemɜ,N,,,4.17,bay,Bucht,öböl,simpemɜ
simpema,N,,,4.17,bay,Bucht,öböl,simpema
simpelkɜ,N,,,4.17,bay,Bucht,öböl,simpelkɜ
simpelka,N,,,4.17,bay,Bucht,öböl,simpelka
simpämɜ,N,,,4.17,bay,Bucht,öböl,simpæmɜ
simpäma,N,,,4.17,bay,Bucht,öböl,simpæma
simpäδä,N,,,4.17,bay,Bucht,öböl,simpæðæ
simpamɜ,N,,,4.17,bay,Bucht,öböl,simpamɜ
simpama,N,,,4.17,bay,Bucht,öböl,simpama
mimpelkä,N,,,4.17,bay,Bucht,öböl,mimpelkæ
mimpelɜ,N,,,4.17,bay,Bucht,öböl,mimpelɜ
mimpela,N,,,4.17,bay,Bucht,öböl,mimpela
mimpalkɜ,N,,,4.17,bay,Bucht,öböl,mimpalkɜ
mimpalka,N,,,4.17,bay,Bucht,öböl,mimpalka
mimpalɜ,N,,,4.17,bay,Bucht,öböl,mimpalɜ
mimpala,N,,,4.17,bay,Bucht,öböl,mimpala
jimpilkɜ,N,,,4.17,bay,Bucht,öböl,jimpilkɜ
jimpilka,N,,,4.17,bay,Bucht,öböl,jimpilka
jimpemä,N,,,4.17,bay,Bucht,öböl,jimpemæ
jimpelkɜ,N,,,4.17,bay,Bucht,öböl,jimpelkɜ
jimpelka,N,,,4.17,bay,Bucht,öböl,jimpelka
jimpeδɜ,N,,,4.17,bay,Bucht,öböl,jimpeðɜ
jimpeδa,N,,,4.17,bay,Bucht,öböl,jimpeða
jimpämɜ,N,,,4.17,bay,Bucht,öböl,jimpæmɜ
jimpäma,N,,,4.17,bay,Bucht,öböl,jimpæma
jimpäδɜ,N,,,4.17,bay,Bucht,öböl,jimpæðɜ
jimpäδa,N,,,4.17,bay,Bucht,öböl,jimpæða
0impilkä,N,,,4.17,bay,Bucht,öböl,0impilkæ
0impilä,N,,,4.17,bay,Bucht,öböl,0impilæ
0impelkä,N,,,4.17,bay,Bucht,öböl,0impelkæ
0impälkä,N,,,4.17,bay,Bucht,öböl,0impælkæ
0impäδä,N,,,4.17,bay,Bucht,öböl,0impæðæ
0impamä,N,,,4.17,bay,Bucht,öböl,0impamæ
0impaδä,N,,,4.17,bay,Bucht,öböl,0impaðæ
simpälkɜ,N,,,4.0,bay,Bucht,öböl,simpælkɜ
simpälka,N,,,4.0,bay,Bucht,öböl,simpælka
simpälɜ,N,,,4.0,bay,Bucht,öböl,simpælɜ
simpäla,N,,,4.0,bay,Bucht,öböl,simpæla
simpalkɜ,N,,,4.0,bay,Bucht,öböl,simpalkɜ
simpalka,N,,,4.0,bay,Bucht,öböl,simpalka
mimpimä,N,,,4.0,bay,Bucht,öböl,mimpimæ
mimpilkɜ,N,,,4.0,bay,Bucht,öböl,mimpilkɜ
mimpilka,N,,,4.0,bay,Bucht,öböl,mimpilka
mimpiδɜ,N,,,4.0,bay,Bucht,öböl,mimpiðɜ
mimpiδa,N,,,4.0,bay,Bucht,öböl,mimpiða
mimpemɜ,N,,,4.0,bay,Bucht,öböl,mimpemɜ
mimpema,N,,,4.0,bay,Bucht,öböl,mimpema
mimpeδɜ,N,,,4.0,bay,Bucht,öböl,mimpeðɜ
mimpeδa,N,,,4.0,bay,Bucht,öböl,mimpeða
jimpilɜ,N,,,4.0,bay,Bucht,öböl,jimpilɜ
jimpila,N,,,4.0,bay,Bucht,öböl,jimpila
jimpiδɜ,N,,,4.0,bay,Bucht,öböl,jimpiðɜ
jimpiδa,N,,,4.0,bay,Bucht,öböl,jimpiða
jimpelɜ,N,,,4.0,bay,Bucht,öböl,jimpelɜ
jimpela,N,,,4.0,bay,Bucht,öböl,jimpela
0impelä,N,,,4.0,bay,Bucht,öböl,0impelæ
0impeδä,N,,,4.0,bay,Bucht,öböl,0impeðæ
0impälä,N,,,4.0,bay,Bucht,öböl,0impælæ
simpalɜ,N,,,3.83,bay,Bucht,öböl,simpalɜ
simpala,N,,,3.83,bay,Bucht,öböl,simpala
simpaδɜ,N,,,3.83,bay,Bucht,öböl,simpaðɜ
simpaδa,N,,,3.83,bay,Bucht,öböl,simpaða
mimpilɜ,N,,,3.83,bay,Bucht,öböl,mimpilɜ
mimpila,N,,,3.83,bay,Bucht,öböl,mimpila
šimpiδä,N,,,3.5,bay,Bucht,öböl,ʃimpiðæ
šimpimä,N,,,3.33,bay,Bucht,öböl,ʃimpimæ
šimpilkä,N,,,3.33,bay,Bucht,öböl,ʃimpilkæ
šimpemä,N,,,3.33,bay,Bucht,öböl,ʃimpemæ
šimpämä,N,,,3.33,bay,Bucht,öböl,ʃimpæmæ
simpilä,N,,,3.33,bay,Bucht,öböl,simpilæ
šimpelkä,N,,,3.17,bay,Bucht,öböl,ʃimpelkæ
šimpelä,N,,,3.17,bay,Bucht,öböl,ʃimpelæ
šimpälkä,N,,,3.17,bay,Bucht,öböl,ʃimpælkæ
šimpalkä,N,,,3.17,bay,Bucht,öböl,ʃimpalkæ
šimpaδä,N,,,3.17,bay,Bucht,öböl,ʃimpaðæ
simpimä,N,,,3.17,bay,Bucht,öböl,simpimæ
simpiδä,N,,,3.17,bay,Bucht,öböl,simpiðæ
šimpälä,N,,,3.0,bay,Bucht,öböl,ʃimpælæ
šimpäδä,N,,,3.0,bay,Bucht,öböl,ʃimpæðæ
šimpalä,N,,,3.0,bay,Bucht,öböl,ʃimpalæ
mimpäδä,N,,,2.83,bay,Bucht,öböl,mimpæðæ
simpeδä,N,,,2.67,bay,Bucht,öböl,simpeðæ
mimpämä,N,,,2.67,bay,Bucht,öböl,mimpæmæ
mimpälkä,N,,,2.67,bay,Bucht,öböl,mimpælkæ
mimpamä,N,,,2.67,bay,Bucht,öböl,mimpamæ
jimpimä,N,,,2.67,bay,Bucht,öböl,jimpimæ
jimpälä,N,,,2.67,bay,Bucht,öböl,jimpælæ
simpemä,N,,,2.5,bay,Bucht,öböl,simpemæ
simpelkä,N,,,2.5,bay,Bucht,öböl,simpelkæ
simpämä,N,,,2.5,bay,Bucht,öböl,simpæmæ
simpamä,N,,,2.5,bay,Bucht,öböl,simpamæ
mimpelä,N,,,2.5,bay,Bucht,öböl,mimpelæ
mimpalkä,N,,,2.5,bay,Bucht,öböl,mimpalkæ
mimpalä,N,,,2.5,bay,Bucht,öböl,mimpalæ
jimpilkä,N,,,2.5,bay,Bucht,öböl,jimpilkæ
jimpelkä,N,,,2.5,bay,Bucht,öböl,jimpelkæ
jimpeδä,N,,,2.5,bay,Bucht,öböl,jimpeðæ
jimpämä,N,,,2.5,bay,Bucht,öböl,jimpæmæ
jimpäδä,N,,,2.5,bay,Bucht,öböl,jimpæðæ
simpälkä,N,,,2.33,bay,Bucht,öböl,simpælkæ
simpälä,N,,,2.33,bay,Bucht,öböl,simpælæ
simpalkä,N,,,2.33,bay,Bucht,öböl,simpalkæ
mimpilkä,N,,,2.33,bay,Bucht,öböl,mimpilkæ
mimpiδä,N,,,2.33,bay,Bucht,öböl,mimpiðæ
mimpemä,N,,,2.33,bay,Bucht,öböl,mimpemæ
mimpeδä,N,,,2.33,bay,Bucht,öböl,mimpeðæ
jimpilä,N,,,2.33,bay,Bucht,öböl,jimpilæ
jimpiδä,N,,,2.33,bay,Bucht,öböl,jimpiðæ
jimpelä,N,,,2.33,bay,Bucht,öböl,jimpelæ
simpalä,N,,,2.17,bay,Bucht,öböl,simpalæ
simpaδä,N,,,2.17,bay,Bucht,öböl,simpaðæ
mimpilä,N,,,2.17,bay,Bucht,öböl,mimpilæ
0ise,Adj,,,8.75,grey-haired,grauhaarig,ősz,0ise
0ije,Adj,,,8.75,grey-haired,grauhaarig,ősz,0ije
0isɜ,Adj,,,8.0,grey-haired,grauhaarig,ősz,0isɜ
0isa,Adj,,,8.0,grey-haired,grauhaarig,ősz,0isa
0ijɜ,Adj,,,8.0,grey-haired,grauhaarig,ősz,0ijɜ
0ija,Adj,,,8.0,grey-haired,grauhaarig,ősz,0ija
sise,Adj,,,7.25,grey-haired,grauhaarig,ősz,sise
sije,Adj,,,7.25,grey-haired,grauhaarig,ősz,sije
sisɜ,Adj,,,6.5,grey-haired,grauhaarig,ősz,sisɜ
sisa,Adj,,,6.5,grey-haired,grauhaarig,ősz,sisa
sijɜ,Adj,,,6.5,grey-haired,grauhaarig,ősz,sijɜ
sija,Adj,,,6.5,grey-haired,grauhaarig,ősz,sija
jise,Adj,,,6.25,grey-haired,grauhaarig,ősz,jise
jije,Adj,,,6.25,grey-haired,grauhaarig,ősz,jije
šise,Adj,,,6.0,grey-haired,grauhaarig,ősz,ʃise
šije,Adj,,,6.0,grey-haired,grauhaarig,ősz,ʃije
mise,Adj,,,6.0,grey-haired,grauhaarig,ősz,mise
mije,Adj,,,6.0,grey-haired,grauhaarig,ősz,mije
jisɜ,Adj,,,5.5,grey-haired,grauhaarig,ősz,jisɜ
jisa,Adj,,,5.5,grey-haired,grauhaarig,ősz,jisa
jijɜ,Adj,,,5.5,grey-haired,grauhaarig,ősz,jijɜ
jija,Adj,,,5.5,grey-haired,grauhaarig,ősz,jija
0isä,Adj,,,5.5,grey-haired,grauhaarig,ősz,0isæ
0ijä,Adj,,,5.5,grey-haired,grauhaarig,ősz,0ijæ
šisɜ,Adj,,,5.25,grey-haired,grauhaarig,ősz,ʃisɜ
šisa,Adj,,,5.25,grey-haired,grauhaarig,ősz,ʃisa
šijɜ,Adj,,,5.25,grey-haired,grauhaarig,ősz,ʃijɜ
šija,Adj,,,5.25,grey-haired,grauhaarig,ősz,ʃija
misɜ,Adj,,,5.25,grey-haired,grauhaarig,ősz,misɜ
misa,Adj,,,5.25,grey-haired,grauhaarig,ősz,misa
mijɜ,Adj,,,5.25,grey-haired,grauhaarig,ősz,mijɜ
mija,Adj,,,5.25,grey-haired,grauhaarig,ősz,mija
sisä,Adj,,,4.0,grey-haired,grauhaarig,ősz,sisæ
sijä,Adj,,,4.0,grey-haired,grauhaarig,ősz,sijæ
jisä,Adj,,,3.0,grey-haired,grauhaarig,ősz,jisæ
jijä,Adj,,,3.0,grey-haired,grauhaarig,ősz,jijæ
šisä,Adj,,,2.75,grey-haired,grauhaarig,ősz,ʃisæ
šijä,Adj,,,2.75,grey-haired,grauhaarig,ősz,ʃijæ
misä,Adj,,,2.75,grey-haired,grauhaarig,ősz,misæ
mijä,Adj,,,2.75,grey-haired,grauhaarig,ősz,mijæ
0ipe,N,,,9.0,deer,Reh,őz,0ipe
jipe,N,,,8.75,deer,Reh,őz,jipe
0ite,N,,,8.75,deer,Reh,őz,0ite
0ipɜ,N,,,8.25,deer,Reh,őz,0ipɜ
0ipa,N,,,8.25,deer,Reh,őz,0ipa
jipɜ,N,,,8.0,deer,Reh,őz,jipɜ
jipa,N,,,8.0,deer,Reh,őz,jipa
0itɜ,N,,,8.0,deer,Reh,őz,0itɜ
0ita,N,,,8.0,deer,Reh,őz,0ita
šite,N,,,7.5,deer,Reh,őz,ʃite
šitɜ,N,,,6.75,deer,Reh,őz,ʃitɜ
šita,N,,,6.75,deer,Reh,őz,ʃita
jite,N,,,6.5,deer,Reh,őz,jite
sipe,N,,,6.25,deer,Reh,őz,sipe
mite,N,,,6.25,deer,Reh,őz,mite
mipe,N,,,6.25,deer,Reh,őz,mipe
šipe,N,,,6.0,deer,Reh,őz,ʃipe
site,N,,,6.0,deer,Reh,őz,site
jitɜ,N,,,5.75,deer,Reh,őz,jitɜ
jita,N,,,5.75,deer,Reh,őz,jita
0ipä,N,,,5.75,deer,Reh,őz,0ipæ
sipɜ,N,,,5.5,deer,Reh,őz,sipɜ
sipa,N,,,5.5,deer,Reh,őz,sipa
mitɜ,N,,,5.5,deer,Reh,őz,mitɜ
mita,N,,,5.5,deer,Reh,őz,mita
mipɜ,N,,,5.5,deer,Reh,őz,mipɜ
mipa,N,,,5.5,deer,Reh,őz,mipa
jipä,N,,,5.5,deer,Reh,őz,jipæ
0itä,N,,,5.5,deer,Reh,őz,0itæ
šipɜ,N,,,5.25,deer,Reh,őz,ʃipɜ
šipa,N,,,5.25,deer,Reh,őz,ʃipa
sitɜ,N,,,5.25,deer,Reh,őz,sitɜ
sita,N,,,5.25,deer,Reh,őz,sita
šitä,N,,,4.25,deer,Reh,őz,ʃitæ
jitä,N,,,3.25,deer,Reh,őz,jitæ
sipä,N,,,3.0,deer,Reh,őz,sipæ
mitä,N,,,3.0,deer,Reh,őz,mitæ
mipä,N,,,3.0,deer,Reh,őz,mipæ
šipä,N,,,2.75,deer,Reh,őz,ʃipæ
sitä,N,,,2.75,deer,Reh,őz,sitæ
ćeŋukte,Rest,,,6.83,own,eigen,saját,t͡ʃʲeŋukte
ćeŋɜtte,Rest,,,6.83,own,eigen,saját,t͡ʃʲeŋɜtte
ćeŋɜtke,Rest,,,6.83,own,eigen,saját,t͡ʃʲeŋɜtke
ćeŋɜkte,Rest,,,6.83,own,eigen,saját,t͡ʃʲeŋɜkte
ćawakte,Rest,,,6.83,own,eigen,saját,t͡ʃʲawakte
ćaŋsutte,Rest,,,6.83,own,eigen,saját,t͡ʃʲaŋsutte
ćaŋsutke,Rest,,,6.83,own,eigen,saját,t͡ʃʲaŋsutke
ćaŋsukte,Rest,,,6.83,own,eigen,saját,t͡ʃʲaŋsukte
ćeŋsɜtte,Rest,,,6.67,own,eigen,saját,t͡ʃʲeŋsɜtte
ćeŋsɜtke,Rest,,,6.67,own,eigen,saját,t͡ʃʲeŋsɜtke
ćeŋsɜkte,Rest,,,6.67,own,eigen,saját,t͡ʃʲeŋsɜkte
ćeŋsatte,Rest,,,6.67,own,eigen,saját,t͡ʃʲeŋsatte
ćeksɜkte,Rest,,,6.67,own,eigen,saját,t͡ʃʲeksɜkte
ćeksatte,Rest,,,6.67,own,eigen,saját,t͡ʃʲeksatte
ćeksatke,Rest,,,6.67,own,eigen,saját,t͡ʃʲeksatke
ćeksakte,Rest,,,6.67,own,eigen,saját,t͡ʃʲeksakte
ćawutte,Rest,,,6.67,own,eigen,saját,t͡ʃʲawutte
ćawutke,Rest,,,6.67,own,eigen,saját,t͡ʃʲawutke
ćawukte,Rest,,,6.67,own,eigen,saját,t͡ʃʲawukte
ćawɜtte,Rest,,,6.67,own,eigen,saját,t͡ʃʲawɜtte
ćaŋukte,Rest,,,6.67,own,eigen,saját,t͡ʃʲaŋukte
ćaŋɜtte,Rest,,,6.67,own,eigen,saját,t͡ʃʲaŋɜtte
ćaŋɜtke,Rest,,,6.67,own,eigen,saját,t͡ʃʲaŋɜtke
ćaŋɜkte,Rest,,,6.67,own,eigen,saját,t͡ʃʲaŋɜkte
ćaksɜkte,Rest,,,6.67,own,eigen,saját,t͡ʃʲaksɜkte
ćaksatte,Rest,,,6.67,own,eigen,saját,t͡ʃʲaksatte
ćaksatke,Rest,,,6.67,own,eigen,saját,t͡ʃʲaksatke
ćaksakte,Rest,,,6.67,own,eigen,saját,t͡ʃʲaksakte
ćeŋsatke,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋsatke
ćeŋsakte,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋsakte
ćeŋutte,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋutte
ćeŋutke,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋutke
ćeŋatte,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋatte
ćeŋatke,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋatke
ćeŋakte,Rest,,,6.5,own,eigen,saját,t͡ʃʲeŋakte
ćeksutte,Rest,,,6.5,own,eigen,saját,t͡ʃʲeksutte
ćawɜtke,Rest,,,6.5,own,eigen,saját,t͡ʃʲawɜtke
ćawɜkte,Rest,,,6.5,own,eigen,saját,t͡ʃʲawɜkte
ćawatte,Rest,,,6.5,own,eigen,saját,t͡ʃʲawatte
ćawatke,Rest,,,6.5,own,eigen,saját,t͡ʃʲawatke
ćaŋsɜtte,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋsɜtte
ćaŋsɜtke,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋsɜtke
ćaŋsɜkte,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋsɜkte
ćaŋsatte,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋsatte
ćaŋatte,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋatte
ćaŋatke,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋatke
ćaŋakte,Rest,,,6.5,own,eigen,saját,t͡ʃʲaŋakte
ćaksutte,Rest,,,6.5,own,eigen,saját,t͡ʃʲaksutte
ćeŋuktɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋuktɜ
ćeŋukta,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋukta
ćeŋɜttɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋɜttɜ
ćeŋɜtta,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋɜtta
ćeŋɜtkɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋɜtkɜ
ćeŋɜtka,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋɜtka
ćeŋɜktɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋɜktɜ
ćeŋɜkta,Rest,,,6.33,own,eigen,saját,t͡ʃʲeŋɜkta
ćeksutke,Rest,,,6.33,own,eigen,saját,t͡ʃʲeksutke
ćeksukte,Rest,,,6.33,own,eigen,saját,t͡ʃʲeksukte
ćeksɜtte,Rest,,,6.33,own,eigen,saját,t͡ʃʲeksɜtte
ćeksɜtke,Rest,,,6.33,own,eigen,saját,t͡ʃʲeksɜtke
ćawaktɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲawaktɜ
ćawakta,Rest,,,6.33,own,eigen,saját,t͡ʃʲawakta
ćaŋsuttɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsuttɜ
ćaŋsutta,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsutta
ćaŋsutkɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsutkɜ
ćaŋsutka,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsutka
ćaŋsuktɜ,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsuktɜ
ćaŋsukta,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsukta
ćaŋsatke,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsatke
ćaŋsakte,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋsakte
ćaŋutte,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋutte
ćaŋutke,Rest,,,6.33,own,eigen,saját,t͡ʃʲaŋutke
ćaksutke,Rest,,,6.33,own,eigen,saját,t͡ʃʲaksutke
ćaksukte,Rest,,,6.33,own,eigen,saját,t͡ʃʲaksukte
ćaksɜtte,Rest,,,6.33,own,eigen,saját,t͡ʃʲaksɜtte
ćaksɜtke,Rest,,,6.33,own,eigen,saját,t͡ʃʲaksɜtke
ćeŋsɜttɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsɜttɜ
ćeŋsɜtta,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsɜtta
ćeŋsɜtkɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsɜtkɜ
ćeŋsɜtka,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsɜtka
ćeŋsɜktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsɜktɜ
ćeŋsɜkta,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsɜkta
ćeŋsattɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsattɜ
ćeŋsatta,Rest,,,6.17,own,eigen,saját,t͡ʃʲeŋsatta
ćeksɜktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksɜktɜ
ćeksɜkta,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksɜkta
ćeksattɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksattɜ
ćeksatta,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksatta
ćeksatkɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksatkɜ
ćeksatka,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksatka
ćeksaktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksaktɜ
ćeksakta,Rest,,,6.17,own,eigen,saját,t͡ʃʲeksakta
ćawuttɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲawuttɜ
ćawutta,Rest,,,6.17,own,eigen,saját,t͡ʃʲawutta
ćawutkɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲawutkɜ
ćawutka,Rest,,,6.17,own,eigen,saját,t͡ʃʲawutka
ćawuktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲawuktɜ
ćawukta,Rest,,,6.17,own,eigen,saját,t͡ʃʲawukta
ćawɜttɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲawɜttɜ
ćawɜtta,Rest,,,6.17,own,eigen,saját,t͡ʃʲawɜtta
ćaŋuktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋuktɜ
ćaŋukta,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋukta
ćaŋɜttɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋɜttɜ
ćaŋɜtta,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋɜtta
ćaŋɜtkɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋɜtkɜ
ćaŋɜtka,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋɜtka
ćaŋɜktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋɜktɜ
ćaŋɜkta,Rest,,,6.17,own,eigen,saját,t͡ʃʲaŋɜkta
ćaksɜktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksɜktɜ
ćaksɜkta,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksɜkta
ćaksattɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksattɜ
ćaksatta,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksatta
ćaksatkɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksatkɜ
ćaksatka,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksatka
ćaksaktɜ,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksaktɜ
ćaksakta,Rest,,,6.17,own,eigen,saját,t͡ʃʲaksakta
ćeŋsatkɜ,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋsatkɜ
ćeŋsatka,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋsatka
ćeŋsaktɜ,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋsaktɜ
ćeŋsakta,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋsakta
ćeŋuttɜ,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋuttɜ
ćeŋutta,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋutta
ćeŋutkɜ,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋutkɜ
ćeŋutka,Rest,,,6.0,own,eigen,saját,t͡ʃʲeŋutka
