Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw
afslahan,V.,"abschlagen, abhauen, erschlagen (V.)","hew off, slay, strike dead, strike off, cut off, kill (V.)",https://koeblergerhard.de/wikiling/?f=got&page=5,afslahan,afslahan
afslaupjan,V.,"abstreifen, ablegen","let slide off, make slip off, put off",https://koeblergerhard.de/wikiling/?f=got&page=5,afslɔpjan,afslɔpjan
afslauþjan,V.,"in Angst versetzen, in Sorge sein (V.), ängstigen","perturb, frighten, dumbfound (V.), scare (V.), silence off, make speechless",https://koeblergerhard.de/wikiling/?f=got&page=5,afslɔθjan,afslɔθjan
afslauþnan,V.,"erschrecken, sich entsetzen","be amazed, be dumbfounded, become dumbfounded, be silenced off, become silenced >>>",https://koeblergerhard.de/wikiling/?f=got&page=5,afslɔθnan,afslɔθnan
afsneiþan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=5,afsniθan,afsniθan
afstandan,V.,"abstehen, ablassen, abfallen","dissociate o.s., go away, stay away, fall off",https://koeblergerhard.de/wikiling/?f=got&page=5,afstandan,afstandan
afstass,F.,"Abfall, Scheidung","dissociation, separation, divorce (N.)",https://koeblergerhard.de/wikiling/?f=got&page=5,afstass,afstass
afswaggwjan,V.,"schwankend machen?, ängstlich machen","make anxious, make sway away from, cause to waver",https://koeblergerhard.de/wikiling/?f=got&page=5,afswaɡɡwjan,afswaɡɡwjan
afswairban,V.,"abwischen, auslöschen","wipe away, wipe out",https://koeblergerhard.de/wikiling/?f=got&page=5,afswɛrban,afswɛrban
afta,Adv.,hinten,behind,https://koeblergerhard.de/wikiling/?f=got&page=5,afta,afta
aftana,Adv.,von hinten,from behind,https://koeblergerhard.de/wikiling/?f=got&page=5,aftana,aftana
aftaraanastodeins,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=5,aftaraanastodins,aftaraanastodins
aftaro,Adv.,"von hinten, hinten","in back of, from behind",https://koeblergerhard.de/wikiling/?f=got&page=5,aftaro,aftaro
