Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old
hamu,kuδ'mɜ,Ug,,,,hɒmu,kuðʲmɜ,hɒmu,hɒmu,kuðʲmɜ
háj,kuje,FU,,,,haj,kuje,haj∅,haj∅,kuje
hall,kule,FU,,,,hɒll,kule,hɒll∅,hɒll∅,kule
halad,kulke,U,,,,hɒlɒd,kulke,hɒlɒd∅,hɒlɒd∅,kulke
holló,kulɜ,U,,kulɜkɜ,,hollo,kulɜ,hollo,hollo,kulɜ
homlok,kuma,U,,,,homlok,kuma,homlok∅,homlok∅,kuma
hab,kumpa,U,,,,hɒb,kumpa,hɒb∅,hɒb∅,kumpa
hó,kumɜ,U,,,,ho,kumɜ,ho,ho,kumɜ
homály,kumɜ,FU,,,,homaj,kumɜ,homaj∅,homaj∅,kumɜ
had,kunta,FU,,,,hɒd,kunta,hɒd∅,hɒd∅,kunta
hall,kuntalɜ,Ug,,,,hɒll,kuntalɜ,hɒll∅,hɒll∅,kuntalɜ
joh,kunɜ,FU,,,,joh,kunɜ,joh∅,joh∅,kunɜ
huny,kuńa,U,,,,huɲ,kuɲa,huɲ∅,huɲ∅,kunʲa
hangya,kuńće,FU,,kuće,,hɒnɟɒ,kuɲt͡ʃʲe,hɒnɟɒ,hɒnɟɒ,kunʲt͡ʃʲe
húgy,kuńće,U,,kuće,,huɟ,kuɲt͡ʃʲe,huɟ∅,huɟ∅,kunʲt͡ʃʲe
húgy,kuńćɜ,U,,kućɜ,,huɟ,kuɲt͡ʃʲɜ,huɟ∅,huɟ∅,kunʲt͡ʃʲɜ
hó,kuŋe,U,,,,ho,kuŋe,ho,ho,kuŋe
harmat,kura,U,,,,hɒrmɒt,kura,hɒrmɒt∅,hɒrmɒt∅,kura
hornyol,kurńa,FU,,,,horɲol,kurɲa,horɲol∅,horɲol∅,kurnʲa
horó,kurɜ,FU,,,,horo,kurɜ,horo,horo,kurɜ
harántos,kurɜ,U,,,,hɒrantoʃ,kurɜ,hɒrantoʃ∅,hɒrantoʃ∅,kurɜ
harag,kurɜ,FU,,,,hɒrɒɡ,kurɜ,hɒrɒɡ∅,hɒrɒɡ∅,kurɜ
húsz,kuśɜ,FU,,kojećɜ,,hus,kuʃʲɜ,hus∅,hus∅,kuʃʲɜ
hat,kutte,FU,,,,hɒt,kutte,hɒt∅,hɒt∅,kutte
hát,kuttɜ,U,,,,hat,kuttɜ,hat∅,hat∅,kuttɜ
küzd,k¨śɜ,Ug,,,,kyzd,k¨ʃʲɜ,kyzd∅,kyzd∅,k¨ʃʲɜ
lapos,lappɜ,U,,,,lɒpoʃ,lappɜ,lɒpoʃ∅,lɒpoʃ∅,lappɜ
lép,läppɜ,FU,,"δäppɜ, leppɜ δeppɜ",,lep,læppɜ,lep∅,lep∅,læppɜ
lë,le,FU,,,,le,le,le,le,le
lé,leme,FU,,lēme,,le,leme,le,le,leme
lep,leppɜ,FU,,,,lɛp,leppɜ,lɛp∅,lɛp∅,leppɜ
lő,lewe,FU,,,,lø,leβe,lø,lø,leβe
lélëk,lewlɜ,FU,,,,lelek,leβlɜ,lelek∅,lelek∅,leβlɜ
lök,likkä,FU,,lükkä,,løk,likkæ,løk∅,løk∅,likkæ
láng,lomɜ,FU,,lamɜ,,lanɡ,lomɜ,lanɡ∅,lanɡ∅,lomɜ
lágy,lońća,FU,,,,laɟ,loɲt͡ʃʲa,laɟ∅,laɟ∅,lonʲt͡ʃʲa
lóg,loŋe,FU,,,,loɡ,loŋe,loɡ∅,loɡ∅,loŋe
lúd,lunta,FU,,,,lud,lunta,lud∅,lud∅,lunta
légy,lȣńćɜ,FU,,,,leɟ,lȣɲt͡ʃʲɜ,leɟ∅,leɟ∅,lȣnʲt͡ʃʲɜ
láp,lȣppɜ,FU,,,,lap,lȣppɜ,lap∅,lap∅,lȣppɜ
lepke,l¨ppɜ,U,,,,lɛpkɛ,l¨ppɜ,lɛpkɛ,lɛpkɛ,l¨ppɜ
levél,l¨pɜ,Ug,,lepɜ,,lɛvel,l¨pɜ,lɛvel∅,lɛvel∅,l¨pɜ
máj,maksa,U,,,,maj,maksa,maj∅,maj∅,maksa
ment,mänɜ,FU,,,,mɛnt,mænɜ,mɛnt∅,mɛnt∅,mænɜ
messze,mećä,FU,,,,mɛʃsɛ,met͡ʃʲæ,mɛʃsɛ,mɛʃsɛ,met͡ʃʲæ
méh,mekše,FU,,,,meh,mekʃe,meh∅,meh∅,mekʃe
mën,mene,U,,,,men,mene,men∅,men∅,mene
méz,mete,FU,,,,mez,mete,mez∅,mez∅,mete
mëny,mińä,U,,,,meɲ,miɲæ,meɲ∅,meɲ∅,minʲæ
mënny,mińɜ,FU,,,,menɲ,miɲɜ,menɲ∅,menɲ∅,minʲɜ
mëg,miŋä,FU,,müŋä,,meɡ,miŋæ,meɡ∅,meɡ∅,miŋæ
mëggy,moĺɜ,FU,,moδ'ɜ,,meɡɟ,moʎɜ,meɡɟ∅,meɡɟ∅,molʲɜ
más,mu,FU,,,,maʃ,mu,maʃ∅,maʃ∅,mu
múl,mulɜ,FU,,,,mul,mulɜ,mul∅,mul∅,mulɜ
mogyoró,muna,U,,,,moɟoro,muna,moɟoro,moɟoro,muna
mag,muŋkɜ,FU,,,,mɒɡ,muŋkɜ,mɒɡ∅,mɒɡ∅,muŋkɜ
mar,mura,U,,murɜ,,mɒr,mura,mɒr∅,mɒr∅,mura
mos,muśke,U,,mośke,,moʃ,muʃʲke,moʃ∅,moʃ∅,muʃʲke
mál,mȣlɜ,FU,,"mȣljɜ, mȣlkɜ",,mal,mȣlɜ,mal∅,mal∅,mȣlɜ
mar,mȣrɜ,U,,,,mɒr,mȣrɜ,mɒr∅,mɒr∅,mȣrɜ
én,m¨,U,,,,en,m¨,en∅,0en∅,m¨
mi,m¨,U,,,,mi,m¨,mi,mi,m¨
mi,mɜ,U,,,,mi,mɜ,mi,mi,mɜ
néz,näke,FU,,,,nez,næke,nez∅,nez∅,næke
nyél,niδe,U,,nüδe,,ɲel,niðe,ɲel∅,ɲel∅,niðe
név,nime,U,,,,nev,nime,nev∅,nev∅,nime
nő,niŋä,U,,,,nø,niŋæ,nø,nø,niŋæ
