"word","time"
"bújik","from_1101_1150"
"egyes","from_1101_1150"
"galamb","from_1101_1150"
"halad","from_1101_1150"
"hó1","from_1101_1150"
"hos","from_1101_1150"
"kém","from_1101_1150"
"ken","from_1101_1150"
"kés","from_1101_1150"
"késik","from_1101_1150"
"ok","from_1101_1150"
"remény","from_1101_1150"
"sok","from_1101_1150"
"társ","from_1101_1150"
"tó","from_1101_1150"
"tolvaj","from_1101_1150"
"tor2","from_1101_1150"
"úszik","from_1101_1150"
"vált","from_1101_1150"
"vét","from_1101_1150"
"irigy","from_1101_1150"
"szél2","from_1101_1150"
"bika","from_1101_1150"
"búza","from_1101_1150"
"csat","from_1101_1150"
"csóka","from_1101_1150"
"gém","from_1101_1150"
"gomba","from_1101_1150"
"hörcsög","from_1101_1150"
"ideg","from_1101_1150"
"kápa","from_1101_1150"
"kasza","from_1101_1150"
"kenyér","from_1101_1150"
"méh1","from_1101_1150"
"mén","from_1101_1150"
"nyom","from_1101_1150"
"osz1","from_1101_1150"
"oz","from_1101_1150"
"patkány","from_1101_1150"
"rés","from_1101_1150"
"süllo","from_1101_1150"
"szel","from_1101_1150"
"üllo","from_1101_1150"
"varjú","from_1101_1150"
"dob1","from_1101_1150"
"kan","from_1101_1150"
"szakács","from_1101_1150"
"szirony1","from_1101_1150"
"tok2","from_1101_1150"
"áru","from_1101_1150"
"csont","from_1101_1150"
"nyu1","from_1101_1150"
"özön","from_1101_1150"
"szeg1","from_1101_1150"
"csepu","from_1101_1150"
"karácsony","from_1101_1150"
"csuma","from_1101_1150"
"fattyú","from_1101_1150"
"köteles","from_1101_1150"
"kánya","from_1101_1150"
"káka","from_1101_1150"
"búb","from_1101_1150"
"kása","from_1101_1150"
"táska","from_1101_1150"
"bog","from_1101_1150"
"kun","from_1101_1150"
"sima","from_1101_1150"
"kova","from_1101_1150"
"szügy","from_1101_1150"
"busa","from_1101_1150"
"tor1","from_1101_1150"
"gulya","from_1101_1150"
"kacs","from_1101_1150"
"vagyon","from_1101_1150"
"baba","from_1101_1150"
"csen","from_1101_1150"
"lap","from_1101_1150"
"csenevész","from_1101_1150"
"toka","from_1101_1150"
"kép","from_1101_1150"
"legény","from_1101_1150"
"makk","from_1101_1150"
"nyáj","from_1101_1150"
"ko","from_1101_1150"
"-ad/-ed","from_1101_1150"
"hal1","from_1101_1150"
"keseru","from_1101_1150"
"malaszt","from_1101_1150"
"munka","from_1101_1150"
"nem2","from_1101_1150"
"van","from_1101_1150"
"hal2","from_1101_1150"
"hód","from_1101_1150"
"vad","from_1101_1150"
"szolga","from_1101_1150"
"fiú","from_1101_1150"
"hu1","from_1101_1150"
"marad","from_1101_1150"
"tart","from_1101_1150"
"fog1","from_1101_1150"
"méz","from_1101_1150"
"öröm","from_1101_1150"
"vas","from_1101_1150"
"ver","from_1101_1150"
"szamár","from_1101_1150"
"vak","from_1101_1150"
"só","from_1101_1150"
"ajándék","from_1101_1150"
"eb","from_1101_1150"
"erdo","from_1101_1150"
"fog2","from_1101_1150"
"ganéj","from_1101_1150"
"hideg","from_1101_1150"
"ma","from_1101_1150"
"mar1","from_1101_1150"
"okos","from_1101_1150"
"olasz","from_1101_1150"
"önt","from_1101_1150"
"péntek","from_1101_1150"
"ül1","from_1101_1150"
"vendég","from_1101_1150"
"víg","from_1101_1150"
"szerecsen","from_1101_1150"
"bogár","from_1101_1150"
"fürj","from_1101_1150"
"horvát","from_1101_1150"
"kakas","from_1101_1150"
"köles","from_1101_1150"
"medve","from_1101_1150"
"nyomorék","from_1101_1150"
"sólyom","from_1101_1150"
"ököl","from_1101_1150"
"ötven","from_1101_1150"
"tök","from_1101_1150"
"kever","from_1101_1150"
"pünkösd","from_1101_1150"
"bolgár","from_1101_1150"
"kicsi","from_1101_1150"
"korpa","from_1101_1150"
"töm","from_1101_1150"
"lök","from_1101_1150"
"gödény","from_1101_1150"
"besenyo","from_1101_1150"
"varég","from_1101_1150"
"-ék1","from_1101_1150"
